tomate,tomate
Soupe de patate douce,"Préparation : 5 min Cuisson : 15 min Ingrédients (pour 3 personnes) : - 1 patate douce - 2 courgettes - 2 kiri - 1 pincée de sel Préparation : Éplucher la patate douce et les courgettes Couper les en morceaux Les mettre dans une casserole en les recouvrant d'eau Une fois cuit, mixer Rajouter les 2 k [...]"
Gratin dauphinois de patates douces,"Préparation : 30 min Cuisson : 45 min Ingrédients (pour 6 personnes) : - 800 g de patates douces - 60 cl de crème liquide - 80 cl de lait demi-écrémé - 150 g de beurre - 1 gousse d'ail - sel et poivre Préparation : Éplucher les patates douces, les couper en tranches fines. Les déposer dans une saute [...]"
Tarte à la courgette et aux patates douces,"Préparation : 15 min Cuisson : 20 min Ingrédients (pour 4 personnes) : - 2 patates douces - 1 courgette - 150 g de lardons - 2 ou 3 oeufs - 15 cl crème fraîche liquide - sel, poivre - piment d'Espelette - quelques herbes de Provence (selon votre goût!) - parmesan râpé - une pâte brisée Préparation : [...]"
Muffins knackis-patates douces,"Préparation : 15 min Cuisson : 30 min Ingrédients (pour 3 personnes) : - 4 knackis - 2 petites patates douces (de la taille d'une carotte) - 1 oignon - 100 g de farine - 1/2 sachet de levure chimique - 45 g de gruyère - 10 g de parmesan - 2 oeufs - laurier - sel, poivre - gingembre - facultatif: 1 c [...]"
Patates douces au gingembre et au poivre,Préparation : 10 min Cuisson : 20 min Ingrédients (pour 4 personnes) : - 1 kg de patates douces - 50 g de beurre - 3 cuillères à soupe d'huile d'olive - 2 gousses d'ail écrasées - 1 racine de gingembre pelée - 2 cuillère à café de piment de la Jamaïque en poudre - 1 cuillère à café de poudre de pime [...]
Cake salé aux patates douces,"Préparation : 20 min Cuisson : 35 min Ingrédients (pour 4 personnes) : - 150 g de farine - 3 oeufs - 1 sachet de levure chimique - 50 g de beurre mou - 1 oignon - 200 g de patates douces (à chair orange) - 100 g de gruyère ou cheddar - sel, poivre, épices à curry - 2 cuillères à soupe d'huile Prépar [...]"
Muffins à la patate douce,"Préparation : 10 min Cuisson : 20 min Ingrédients (pour 6 gros muffins) : - 150 g de patate douce - 100 g de farine - 75 g de sucre - 2 cuillères à café de levure chimique - 1/2 cuillère à café de sel - 2 cuillères à soupe de miel liquide - 12,5 cl de lait - 45 ml d'huile (3 cuillères à soupe) - 1 o [...]"
Gâteau aux patates douces,Préparation : 60 min Cuisson : 60 min Ingrédients (pour 8 personnes) : - 1 kg 500 de patates douces - 4 ou 5 oeufs (selon la grosseur) - 175 g de beurre - 250 g de sucre - 1 gousse de vanille - 3 cuillères à soupe de rhum (ou de Marie Brizard) Préparation : Eplucher les patates et les faire cuire à  [...]
Galettes de patates douces vietnamienne,Préparation : 15 min Cuisson : 15 min Ingrédients (pour 4 personnes) : - 500 g de patates douces crues râpées - 2 gousses d'ail hachées - cébettes - 200 g de farine - 50 g de Maïzena - 1 cuillère à café de sel - 2 oeufs battus en omelette - 250 ml de lait de coco - poivre - quelques crevettes crues  [...]
Parmentier de canard aux 2 patates,Préparation : 30 min Cuisson : 20 min Ingrédients (pour 4 personnes) : - 4 morceaux de canard confit - 2 gousses d'ail - 300 g de pommes de terre (Charlottes ou rattes) - 300 g patates douces - un bulbe de fenouil - 1 oignon - 1 verre de lait - 2 cuillères à soupe de crème fraîche - 1 cuillère à sou [...]
tomate,patate
